#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1        -nan        -nan           0
           2 1.70606e+18        -nan         nan
           3        -nan        -nan         nan
           4 5.45027e+17        -nan         nan
           5 3.15755e+14        -nan         nan
           6        -nan        -nan         nan
           7        -nan        -nan         nan
           8        -nan        -nan         nan
           9 8.15355e+13        -nan         nan
          10 4.26639e+14        -nan         nan
