cum_avg,sqrd_cum_avg,error
0.0834513,0.00696411,0
0.0850092,0.00722899,0.00155792
0.0842106,0.00709432,0.00120282
0.0845043,0.0071434,0.000899791
0.0843446,0.00711605,0.000715043
0.0846083,0.00716062,0.000640653
0.0846445,0.00716646,0.000542659
0.084177,0.00708885,0.000662868
0.0834475,0.00697048,0.000934832
0.0832638,0.00693946,0.000856093
0.0835553,0.00698833,0.000827402
0.0836006,0.00699536,0.000756671
0.0837441,0.00701914,0.000710678
0.0836596,0.00700465,0.000663365
0.0839415,0.00705263,0.000678858
0.0839132,0.00704748,0.000635647
0.0838156,0.00703091,0.000605002
0.0838038,0.00702861,0.000570524
0.083942,0.00705184,0.000557069
0.0838018,0.00702842,0.000546747
0.0835998,0.00699515,0.000557917
0.0833151,0.00694906,0.00060333
0.0833948,0.00696214,0.000581974
0.0834068,0.00696384,0.000557328
0.0834739,0.00697486,0.000538768
0.0835221,0.0069827,0.00051987
0.0835314,0.00698401,0.000500331
0.0836058,0.00699635,0.00048783
0.0835875,0.00699308,0.000471062
0.0834983,0.0069782,0.000463749
0.0834878,0.00697625,0.000448663
0.0835711,0.00699019,0.000442319
0.0834754,0.00697432,0.000439241
0.0835034,0.00697884,0.000427045
0.0836028,0.00699561,0.000426411
0.0835265,0.00698289,0.000421369
0.0834949,0.00697749,0.000411034
0.0834624,0.00697193,0.000401393
0.0834326,0.00696684,0.0003921
0.0834716,0.00697327,0.000384158
0.0834109,0.00696315,0.000379554
0.0833969,0.00696067,0.000370674
0.0834137,0.00696336,0.000362342
0.0834706,0.00697287,0.000358552
0.0834866,0.00697542,0.000350858
0.0833964,0.00696063,0.000354784
0.0833529,0.00695333,0.000349878
0.0834293,0.00696623,0.000350929
0.0834559,0.00697058,0.00034472
0.083479,0.00697435,0.000338544
0.083462,0.00697143,0.000332272
0.0835263,0.00698226,0.000332099
0.0835415,0.00698472,0.00032613
0.0835627,0.00698817,0.000320732
0.0835847,0.00699178,0.000315613
0.0836109,0.0069961,0.000311033
0.0836901,0.00700962,0.000315636
0.0837155,0.0070138,0.000311181
0.0837698,0.00702297,0.000310639
0.083751,0.00701975,0.000305995
0.0837098,0.00701287,0.000303741
0.0837425,0.00701832,0.000300587
0.0837413,0.00701804,0.000295779
0.0837719,0.00702313,0.000292722
0.0837149,0.0070137,0.000293779
0.0836848,0.00700865,0.000290846
0.0837012,0.00701133,0.000286939
0.0837017,0.00701134,0.000282689
0.0837484,0.00701922,0.000282442
0.083762,0.00702143,0.000278708
0.0837782,0.0070241,0.000275236
0.0837687,0.00702243,0.000271554
0.0837388,0.00701741,0.000269475
0.0837595,0.00702084,0.000266614
0.0837463,0.00701857,0.000263367
0.083732,0.00701613,0.000260272
0.0837214,0.0070143,0.000257086
0.0837232,0.00701454,0.000253775
0.0836985,0.00701038,0.000251758
0.0836932,0.00700944,0.000248647
0.0836787,0.00700697,0.000245987
0.0836142,0.00699646,0.00025138
0.0836109,0.00699584,0.000248355
0.0836137,0.00699624,0.000245397
0.0835998,0.00699389,0.000242887
0.083634,0.00699964,0.000242465
0.0836132,0.00699615,0.000240559
0.0836399,0.00700062,0.000239299
0.0836279,0.00699857,0.000236899
0.0836221,0.00699754,0.000234324
0.0836534,0.00700282,0.000233848
0.0836021,0.00699441,0.00023693
0.0835979,0.00699367,0.000234405
0.0835908,0.00699243,0.000232007
0.0835617,0.00698759,0.000231386
0.0835615,0.0069875,0.000228963
0.0835774,0.00699014,0.000227152
0.0835446,0.00698471,0.000227205
0.0835353,0.00698311,0.000225092
0.0835406,0.00698395,0.000222892
