cum_avg,error
3.11175,0
3.13695,0.0251933
3.14071,0.0150244
3.1346,0.0122558
3.1359,0.0095813
3.13456,0.00793679
3.13931,0.00822206
3.14011,0.00716482
3.14452,0.0077072
3.14763,0.00756363
3.149,0.00697658
3.14847,0.00639094
3.14614,0.00632081
3.14751,0.0060089
3.14722,0.00560163
3.14667,0.00526791
3.14838,0.0052336
3.14676,0.00519224
3.14654,0.00491623
3.14435,0.00515204
3.14488,0.00492888
3.14483,0.00469985
3.14444,0.00450729
3.14373,0.0043737
3.14418,0.00421891
3.14384,0.00406719
3.14462,0.00398939
3.14526,0.0038979
3.14464,0.00381141
3.14488,0.00368996
3.14473,0.00357234
3.14474,0.00345893
3.14499,0.00336149
3.14478,0.00326756
3.14503,0.00318231
3.14523,0.00309932
3.14607,0.00312821
3.14641,0.00306386
3.14648,0.00298517
3.14623,0.00292028
3.14589,0.002868
3.14545,0.00283346
3.14551,0.00276728
3.14542,0.00270513
3.14434,0.0028565
3.14358,0.00289311
3.14343,0.0028349
3.14347,0.00277545
3.14386,0.00274628
3.14377,0.00269253
3.14427,0.00268664
3.14399,0.00264893
3.14373,0.0026111
3.14391,0.0025685
3.14412,0.00253005
3.14344,0.00257719
3.14328,0.00253647
3.1428,0.00253873
3.14278,0.00249542
3.14327,0.00250305
3.14294,0.00248442
3.14294,0.00244402
3.14204,0.0025668
3.14221,0.00253203
3.14268,0.002536
3.14215,0.00255273
3.14259,0.00255351
3.1429,0.00253382
3.14306,0.00250239
3.14324,0.0024727
3.14336,0.00244063
3.1431,0.00242097
3.14344,0.00241151
3.14393,0.002429
3.14412,0.00240428
3.14401,0.00237517
3.1444,0.00237643
3.14414,0.00236055
3.14433,0.00233864
3.14452,0.00231706
3.14418,0.00231377
3.14354,0.00237281
3.14355,0.00234409
3.14345,0.00231827
3.14392,0.00233876
3.14398,0.00231224
3.14367,0.0023076
3.14367,0.00228123
3.14332,0.00228291
3.14264,0.002358
3.1427,0.00233276
3.14215,0.0023713
3.14186,0.00236341
3.14198,0.00234106
3.14184,0.00232038
3.14174,0.00229818
3.14171,0.0022746
3.14169,0.00225134
3.14151,0.00223578
3.14178,0.00222891
