I,error
1.06226,0
0.980392,0.0521217
1.0326,0.0448368
0.998894,0.0382842
1.00267,0.0297522
1.00866,0.0245901
1.00589,0.0208572
1.00585,0.0180629
0.995994,0.0171207
0.988977,0.0159514
0.990506,0.0144614
0.986138,0.0134911
0.985987,0.0124104
0.986175,0.0114904
0.989088,0.0108566
0.983378,0.0107864
0.983918,0.0101379
0.985737,0.00962799
0.985782,0.00910721
0.988592,0.00882314
0.990628,0.008492
0.992136,0.0081535
0.993606,0.00784698
0.992936,0.00752502
0.99106,0.0073159
0.990955,0.0070292
0.989079,0.00686851
0.988656,0.00662413
0.98799,0.00640569
0.987856,0.00618907
0.989081,0.00603665
0.990118,0.00588212
0.98775,0.005897
0.98994,0.00588844
0.991172,0.00577121
0.991558,0.00561401
0.990083,0.00554034
0.990577,0.00540173
0.990878,0.0052649
0.992105,0.00519068
0.992278,0.00506369
0.992282,0.00494166
0.992522,0.0048278
0.993491,0.00475697
0.993865,0.00465613
0.994179,0.00455817
0.994736,0.00447422
0.994885,0.00438105
0.994263,0.00430898
0.994708,0.00423143
0.994475,0.00415029
0.995301,0.00410355
0.994671,0.00404531
0.995537,0.00400781
0.996206,0.00395725
0.996387,0.00388764
0.995295,0.00388162
0.996398,0.00387819
0.997141,0.00384117
0.996606,0.00379194
0.998228,0.00386953
0.996842,0.00390747
0.996764,0.00384527
0.996815,0.00378485
0.996217,0.00374554
0.996227,0.00368835
0.994381,0.00381824
0.994588,0.00376399
0.993951,0.00373112
0.992195,0.00384362
0.99197,0.00379181
0.991883,0.00373918
0.991575,0.00369281
0.9931,0.00376974
0.99325,0.00372036
0.992574,0.00369619
0.993754,0.00372443
0.993042,0.00370426
0.992269,0.00369
0.992013,0.00364721
0.990844,0.00367804
0.990379,0.00364495
0.990755,0.00360873
0.990917,0.00356699
0.992088,0.0036028
0.99209,0.00356067
0.99242,0.00352575
0.993416,0.00354265
0.994062,0.00352671
0.993776,0.00349205
0.995212,0.0035723
0.995992,0.00356802
0.996467,0.00354238
0.996517,0.00350463
0.997253,0.00349903
0.997581,0.00346868
0.997496,0.00343316
0.997946,0.00340997
0.998376,0.00338642
0.997939,0.00336392
