I (unif),error (unif),I(i.s.),error(i.s.)
0.978548,0,0.99913,0
0.996583,0.0114815,0.996386,0.00174697
0.999438,0.00687342,0.994128,0.00175614
1.00251,0.00523834,0.996358,0.00188624
0.992003,0.00782187,1.00352,0.00478599
0.985,0.0077887,1.00312,0.00391571
0.982964,0.00670902,1.00276,0.00331751
0.975062,0.0076855,1.00228,0.00288903
0.976685,0.00685632,1.0016,0.0025851
0.976496,0.00613366,0.999912,0.00254884
0.975699,0.00557128,0.997832,0.00265896
0.979393,0.00560316,0.998545,0.00246945
0.977192,0.00534113,0.999064,0.00229543
0.979418,0.00514403,1.00085,0.00241029
0.977453,0.00494954,1.00087,0.00224388
0.978267,0.00465872,0.999606,0.00224708
0.980025,0.00451707,0.999896,0.00211885
0.981955,0.00443234,0.999484,0.0020148
0.979616,0.00444906,0.999432,0.0019061
0.985353,0.00558159,1.00024,0.00188012
0.986361,0.00534776,1.0005,0.00179578
0.989317,0.00543509,1.00085,0.00172724
0.991194,0.00532911,1.00097,0.00165204
0.990177,0.00514313,1.00023,0.00164991
0.988263,0.00508134,0.999643,0.00162626
0.989682,0.00496482,0.999719,0.00156321
0.990328,0.00479509,0.999778,0.00150467
0.99241,0.004807,0.999894,0.0014518
0.992099,0.00464251,0.999798,0.00140216
0.991653,0.00449408,0.999585,0.00136141
0.991765,0.00434728,0.999503,0.0013178
0.990778,0.00425592,0.999318,0.00128139
0.990771,0.00412493,0.999589,0.0012539
0.990179,0.00401952,1.0002,0.00127749
0.988965,0.00397874,1.00109,0.00136249
0.987393,0.00399398,1.00081,0.00133552
0.987718,0.00389001,1.00024,0.00134961
0.987772,0.00378642,1.00064,0.00133893
0.988844,0.00375061,1.00077,0.00130677
0.987794,0.00371623,1.00101,0.00128212
0.98655,0.00371,1.0016,0.00130705
0.988299,0.00378792,1.00175,0.00127878
0.988774,0.00371116,1.00127,0.00128528
0.989602,0.00366396,1.0008,0.00129121
0.990281,0.0036076,1.00086,0.00126282
0.992498,0.00380003,1.00023,0.00129794
0.99281,0.00372359,1.00003,0.00127617
0.995141,0.00393574,1.00018,0.00125286
0.995961,0.00388974,1.00026,0.00122802
0.996706,0.00384055,1.00039,0.00120615
0.998024,0.00385697,1.00025,0.00118552
0.997451,0.00379964,0.999941,0.00117955
0.998476,0.00378392,0.999726,0.00116508
0.998529,0.00371334,0.999887,0.00114784
0.998911,0.00365327,1.00007,0.00113296
0.999806,0.00363241,1.00047,0.00114123
1.00079,0.00362312,1.00066,0.00112771
1.00124,0.0035713,1.00071,0.00110847
1.00049,0.00354246,1.00072,0.00108954
0.99922,0.00357539,1.00037,0.00109476
0.998976,0.00351971,1.0004,0.00107694
0.999236,0.00346644,1.00045,0.0010598
0.999645,0.00342089,1.00031,0.00104665
0.999867,0.00336998,1.00002,0.00104597
0.997919,0.00354186,1.00028,0.00104248
0.997871,0.00348792,1.00014,0.00103032
0.99743,0.00344689,1.00005,0.00101662
0.99787,0.00340736,1.00005,0.00100157
0.997695,0.00335947,1.00028,0.000997333
0.997614,0.00331154,0.999962,0.00100332
0.997712,0.00326517,0.999823,0.000993006
0.998403,0.00324941,0.999565,0.000992797
0.99805,0.00321245,0.999678,0.00098173
0.998776,0.00320227,1.00019,0.00102171
0.998728,0.00315944,1.00016,0.00100821
0.998198,0.00313581,1.00022,0.000995778
0.997249,0.00315319,1.00064,0.00101791
0.996539,0.00314519,1.00073,0.00100645
0.9949,0.00327564,1.00074,0.000993646
0.994657,0.00323815,1.00073,0.000981176
0.994588,0.00319822,1.00078,0.000969553
0.994287,0.00316478,1.00081,0.000957832
0.9937,0.00314864,1.00049,0.000967554
0.994119,0.0031223,1.00057,0.000957147
0.993758,0.00309388,1.00035,0.000955707
0.993608,0.00305919,1.00039,0.0009449
0.993528,0.00302425,1.00052,0.000937147
0.994015,0.0030057,1.00056,0.000926927
0.99352,0.00298836,1.00047,0.000918279
0.99364,0.00295596,1.00045,0.000908154
0.994851,0.00302327,1.00051,0.000898865
0.994654,0.00299286,1.00084,0.000914063
0.995028,0.00297005,1.00088,0.000904499
0.994509,0.00295681,1.00086,0.000894908
0.994028,0.00294145,1.001,0.000889831
0.994727,0.00294446,1.00083,0.000886942
0.994663,0.00291423,1.00062,0.000888094
0.994351,0.00289118,1.00079,0.000886013
0.994454,0.00286258,1.00083,0.000877322
0.994718,0.00283879,1.00094,0.000871249
