price (call;dir), error(call;dir), price (call;dir), error(call;dir) price (call;dis), error(call;dis), price (call;dis), error(call;dis) 
13.3488,0,6.01205,0,14.9779,0,6.13841,0
13.7751,0.426327,5.72892,0.283133,15.3111,0.333231,5.92294,0.215476
13.9853,0.323664,5.77006,0.168565,14.9229,0.433295,5.76686,0.199589
14.3357,0.418525,5.71073,0.133142,14.7607,0.34667,5.79909,0.144763
14.562,0.395375,5.57367,0.171531,14.6053,0.310242,5.85952,0.127378
14.6094,0.326279,5.55575,0.141196,14.6496,0.257159,5.84332,0.105257
14.6951,0.288771,5.53326,0.121434,14.8089,0.269438,5.87412,0.0941406
14.6686,0.251482,5.5941,0.121495,14.859,0.238654,5.79857,0.111154
14.6894,0.22276,5.56389,0.111325,14.8778,0.211317,5.74302,0.112675
14.7209,0.201712,5.51355,0.111575,14.8757,0.18902,5.72547,0.102295
14.7922,0.195901,5.48477,0.104945,14.9805,0.200542,5.6515,0.118465
14.7831,0.179066,5.47714,0.0961046,14.9689,0.183441,5.63274,0.109757
14.8873,0.194916,5.42944,0.100455,15.0061,0.172802,5.58906,0.110007
14.8767,0.180768,5.427,0.093035,14.9557,0.167746,5.56849,0.103904
14.9513,0.184091,5.43248,0.0867842,14.9468,0.156415,5.60003,0.101741
14.9637,0.172647,5.44047,0.0815712,14.9514,0.146385,5.56408,0.101732
14.9394,0.163983,5.42711,0.0777786,15.0368,0.161871,5.58761,0.0984153
14.9506,0.155003,5.43307,0.0735722,15.021,0.15343,5.61277,0.0961378
14.9166,0.150488,5.42479,0.0700838,15.0201,0.145133,5.5832,0.0956251
14.9127,0.142819,5.45096,0.0714535,14.9929,0.140351,5.57292,0.0912986
14.9403,0.138619,5.46712,0.0698604,14.9968,0.133558,5.57073,0.0868699
14.9511,0.132611,5.46711,0.0666093,15.0396,0.134357,5.57176,0.0828336
14.9443,0.126901,5.46846,0.0636616,15.0505,0.128844,5.5418,0.0846319
14.8879,0.133926,5.48013,0.0620594,15.0426,0.123616,5.52416,0.0829264
14.8499,0.133967,5.47511,0.0597367,15.0439,0.118577,5.51492,0.0800749
14.8414,0.128992,5.46082,0.0591445,15.0646,0.115786,5.50938,0.0771327
14.825,0.125196,5.48391,0.0614181,15.0632,0.111423,5.51883,0.0748199
14.8375,0.121284,5.49121,0.0596324,15.0545,0.107724,5.50808,0.0728958
14.8444,0.117232,5.49054,0.0575433,15.0568,0.103967,5.51467,0.0706458
14.8378,0.113452,5.47246,0.0584602,15.0535,0.100496,5.50937,0.0684561
14.8916,0.122213,5.4478,0.0616857,15.0641,0.0977766,5.50672,0.066264
14.8747,0.119531,5.45079,0.0598018,15.0729,0.0950851,5.50673,0.0641598
14.8808,0.116014,5.4451,0.0582397,15.0746,0.0921741,5.50972,0.0622571
14.8755,0.112675,5.45352,0.0571244,15.0604,0.0905402,5.5064,0.0604896
14.8699,0.109552,5.44564,0.0560258,15.0748,0.0890817,5.50338,0.0588134
14.9001,0.110667,5.44222,0.0545542,15.0837,0.0870335,5.50301,0.0571576
14.9316,0.112126,5.43669,0.0533473,15.0654,0.0866011,5.50168,0.0556071
14.9096,0.111321,5.44469,0.0525371,15.0673,0.0843125,5.49615,0.0544061
14.9073,0.108455,5.4446,0.0511723,15.0584,0.082603,5.48831,0.0535689
14.9075,0.105709,5.45185,0.050401,15.0547,0.0805982,5.49518,0.0526619
14.893,0.104113,5.44999,0.0491914,15.0729,0.0806871,5.49057,0.0515674
14.8785,0.102636,5.45443,0.0482102,15.0617,0.0795303,5.48895,0.0503507
14.8579,0.102321,5.46803,0.049001,15.0561,0.0778598,5.48308,0.0495149
14.8541,0.100042,5.47384,0.0482263,15.0765,0.0787412,5.46959,0.0502215
14.8681,0.0987923,5.46203,0.0485994,15.0637,0.0780188,5.47894,0.049974
14.8769,0.0970237,5.44608,0.0501355,15.0687,0.0764676,5.48148,0.0489416
14.904,0.0987173,5.44079,0.0493419,15.0598,0.075351,5.47813,0.0480059
14.9017,0.0966641,5.44676,0.0486703,15.0721,0.0747801,5.47699,0.0470091
14.9099,0.0950224,5.44303,0.0478126,15.0578,0.0746179,5.46814,0.0468829
14.9015,0.0934823,5.44916,0.0472471,15.0414,0.0749392,5.47629,0.0466545
14.9232,0.0941609,5.43485,0.0484729,15.0551,0.074731,5.48016,0.045894
14.9264,0.0923888,5.4337,0.0475456,15.0513,0.0733811,5.4796,0.0450063
14.9275,0.0906356,5.431,0.0467176,15.0646,0.0732059,5.47053,0.0450727
14.9073,0.0912,5.43009,0.0458534,15.0598,0.071998,5.47191,0.0442518
14.9072,0.0895265,5.4331,0.0451124,15.0458,0.0720397,5.46095,0.0448021
14.8983,0.088364,5.44377,0.0455667,15.055,0.0713271,5.4613,0.0439962
14.9034,0.0869467,5.4455,0.0447936,15.0437,0.0709645,5.45732,0.0434011
14.9257,0.0883031,5.44395,0.044042,15.0592,0.0714324,5.45236,0.0429333
14.9079,0.0885977,5.44803,0.0434817,15.0472,0.0712356,5.45947,0.0427947
14.9152,0.0874156,5.44492,0.0428641,15.0442,0.0701009,5.45764,0.0421154
14.915,0.0859709,5.44403,0.0421648,15.049,0.0691083,5.44857,0.0424
14.9252,0.0851815,5.44181,0.0415389,15.059,0.0687158,5.45222,0.0418701
14.9324,0.0841274,5.43987,0.0409201,15.06,0.0676245,5.45666,0.0414379
14.9214,0.0835262,5.4435,0.0404387,15.0732,0.0678449,5.45776,0.0408003
