#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.18524     2.18524           0
           2     2.10273     2.14399   0.0291702
           3     2.11603     2.13467   0.0208825
           4     2.14024     2.13606   0.0157083
           5     2.10938     2.13072   0.0134426
           6      2.1082     2.12697   0.0117146
           7     2.08074     2.12036   0.0117564
           8     2.07139     2.11424   0.0117736
           9     2.10866     2.11362   0.0104817
          10     2.04912     2.10717   0.0112444
