#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -4.83735    -4.83735           0
           2    -4.75305     -4.7952   0.0298025
           3    -4.76801    -4.78614   0.0212017
           4    -4.79355    -4.78799   0.0159819
           5    -4.76074    -4.78254   0.0136831
           6    -4.75929    -4.77867   0.0119389
           7    -4.73217    -4.77202   0.0119389
           8    -4.72174    -4.76574   0.0119873
           9    -4.75806    -4.76489   0.0106857
          10    -4.70048    -4.75844   0.0113938
