#BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.12361     2.12361           0
           2     2.13467     2.12914  0.00390952
           3     2.13864      2.1323  0.00367095
           4     2.12534     2.13056  0.00313862
           5     2.11473      2.1274  0.00378481
           6      2.0945     2.12192   0.0059157
           7      2.0928     2.11776  0.00636681
           8     2.09616     2.11506  0.00611647
           9     2.11354     2.11489  0.00543919
          10     2.10668     2.11407  0.00495689
          11     2.13131     2.11563  0.00474773
          12     2.11991     2.11599  0.00436541
          13     2.11231     2.11571   0.0040388
          14     2.09929     2.11453  0.00391693
          15     2.12127     2.11498  0.00368149
          16     2.10209     2.11418  0.00353848
          17     2.08399      2.1124   0.0037495
          18     2.09896     2.11166  0.00361475
          19      2.1275     2.11249  0.00351941
          20     2.12834     2.11328  0.00343154
          21     2.11703     2.11346  0.00327277
          22     2.12088      2.1138  0.00314135
          23      2.1344     2.11469  0.00312982
          24     2.14987     2.11616  0.00332489
          25     2.20848     2.11985  0.00482483
          26     2.21729      2.1236  0.00591835
          27      2.2245     2.12734  0.00677706
          28     2.21503     2.13047  0.00722254
          29     2.21439     2.13336  0.00753092
          30     2.23263     2.13667   0.0079737
          31      2.1997      2.1387  0.00797146
          32     2.18054     2.14001  0.00782883
          33     2.17613     2.14111  0.00766771
          34     2.17144       2.142  0.00749392
          35      2.1792     2.14306  0.00735482
          36     2.18098     2.14411  0.00722555
          37     2.16247     2.14461  0.00704727
          38     2.18273     2.14561  0.00693285
          39     2.24208     2.14809  0.00718279
          40     2.27855     2.15135  0.00770826
          41     2.29318     2.15481  0.00826005
          42     2.33007     2.15898  0.00905633
          43     2.38688     2.16428   0.0102802
          44      2.4621     2.17105   0.0120709
          45     2.56714     2.17985   0.0146647
          46     2.71999     2.19159   0.0184577
          47     2.90381     2.20675   0.0234753
          48     3.09888     2.22533   0.0294383
          49     3.19633     2.24515   0.0348751
          50     3.02813     2.26081    0.037529
