#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59694     1.59694           0
           2     1.59684     1.59689 3.24236e-05
           3     1.59639     1.59672 0.000138603
           4     1.59651     1.59667 0.000113323
           5     1.59681      1.5967 9.41936e-05
           6     1.59682     1.59672 8.05396e-05
           7     1.59664     1.59671 6.97596e-05
           8     1.59675     1.59671    6.12e-05
           9     1.59673     1.59672 5.44479e-05
          10     1.59632     1.59668 6.16668e-05
          11     1.59664     1.59667 5.61682e-05
          12       1.597      1.5967 5.77413e-05
          13     1.59708     1.59673 6.03206e-05
          14     1.59657     1.59672 5.71025e-05
          15     1.59744     1.59677 7.05839e-05
          16     1.59648     1.59675 6.84122e-05
          17     1.59621     1.59672 7.12304e-05
          18     1.59665     1.59671 6.73744e-05
          19     1.59632     1.59669 6.69796e-05
          20     1.59747     1.59673 7.40491e-05
          21      1.5972     1.59675 7.37743e-05
          22     1.59698     1.59676 7.11369e-05
          23     1.59652     1.59675 6.88349e-05
          24     1.59614     1.59673 7.05063e-05
          25      1.5964     1.59671  6.8881e-05
          26      1.5964      1.5967 6.73028e-05
          27     1.59647     1.59669 6.53327e-05
          28     1.59717     1.59671 6.52236e-05
          29     1.59576     1.59668 7.08056e-05
          30     1.59602     1.59666 7.17497e-05
          31     1.59657     1.59665  6.9491e-05
          32     1.59682     1.59666 6.75176e-05
          33     1.59658     1.59666 6.55136e-05
          34     1.59669     1.59666 6.35949e-05
          35     1.59723     1.59667 6.38651e-05
          36     1.59661     1.59667 6.21159e-05
          37     1.59664     1.59667 6.04421e-05
          38     1.59674     1.59667 5.88786e-05
          39     1.59632     1.59666 5.80601e-05
          40     1.59646     1.59666 5.68298e-05
          41      1.5969     1.59666 5.57574e-05
          42     1.59637     1.59666 5.48703e-05
          43     1.59669     1.59666 5.35988e-05
          44     1.59682     1.59666 5.25137e-05
          45     1.59709     1.59667  5.2214e-05
          46     1.59719     1.59668 5.22611e-05
          47     1.59622     1.59667  5.2076e-05
          48     1.59649     1.59667 5.11367e-05
          49     1.59658     1.59667 5.01255e-05
          50     1.59634     1.59666  4.9546e-05
          51     1.59656     1.59666 4.86146e-05
          52     1.59679     1.59666 4.77494e-05
          53     1.59669     1.59666 4.68512e-05
          54     1.59605     1.59665 4.73528e-05
          55     1.59635     1.59664 4.68056e-05
          56     1.59624     1.59664 4.65123e-05
          57     1.59715     1.59665 4.65719e-05
          58     1.59645     1.59664 4.58904e-05
          59     1.59684     1.59665 4.52323e-05
          60     1.59675     1.59665 4.45112e-05
          61      1.5965     1.59665 4.38446e-05
          62     1.59634     1.59664 4.34065e-05
          63     1.59668     1.59664 4.27213e-05
          64     1.59666     1.59664 4.20552e-05
          65     1.59663     1.59664 4.14084e-05
          66     1.59686     1.59664  4.0907e-05
          67     1.59646     1.59664  4.0391e-05
          68      1.5967     1.59664 3.98049e-05
          69     1.59652     1.59664  3.9268e-05
          70     1.59665     1.59664 3.87072e-05
          71     1.59695     1.59665 3.83991e-05
          72      1.5962     1.59664 3.83625e-05
          73     1.59662     1.59664 3.78378e-05
          74     1.59642     1.59664 3.74425e-05
          75      1.5966     1.59664 3.69459e-05
          76     1.59633     1.59663  3.6674e-05
          77     1.59717     1.59664  3.6864e-05
          78     1.59641     1.59664 3.65055e-05
          79     1.59642     1.59663 3.61464e-05
          80     1.59657     1.59663 3.57046e-05
          81     1.59662     1.59663 3.52641e-05
          82     1.59674     1.59663 3.48569e-05
          83     1.59605     1.59663 3.51399e-05
          84     1.59668     1.59663 3.47265e-05
          85     1.59631     1.59662 3.45159e-05
          86     1.59658     1.59662 3.41182e-05
          87     1.59658     1.59662 3.37301e-05
          88     1.59641     1.59662 3.34358e-05
          89       1.597     1.59662 3.33331e-05
          90     1.59606     1.59662 3.35486e-05
          91     1.59654     1.59662 3.31917e-05
          92     1.59677     1.59662 3.28706e-05
          93     1.59616     1.59661 3.28892e-05
          94     1.59673     1.59661 3.25611e-05
          95     1.59652     1.59661  3.2234e-05
          96     1.59694     1.59662 3.20786e-05
          97     1.59641     1.59662 3.18183e-05
          98     1.59662     1.59662 3.14936e-05
          99      1.5963     1.59661 3.13309e-05
         100     1.59689     1.59661 3.11376e-05
         101     1.59653     1.59661 3.08417e-05
         102     1.59645     1.59661  3.0583e-05
         103     1.59647     1.59661 3.03169e-05
         104     1.59642     1.59661 3.00833e-05
         105     1.59672     1.59661 2.98146e-05
         106     1.59658     1.59661 2.95347e-05
         107     1.59663     1.59661 2.92594e-05
         108     1.59648     1.59661 2.90146e-05
         109     1.59711     1.59661 2.91089e-05
         110     1.59683     1.59662 2.89128e-05
         111     1.59677     1.59662 2.86843e-05
         112     1.59625     1.59661 2.86154e-05
         113     1.59672     1.59661 2.83763e-05
         114     1.59632     1.59661 2.82419e-05
         115     1.59628     1.59661 2.81396e-05
         116     1.59681     1.59661 2.79487e-05
         117     1.59687     1.59661 2.78001e-05
         118     1.59662     1.59661 2.75647e-05
         119     1.59639     1.59661 2.73948e-05
         120     1.59693     1.59661 2.72926e-05
         121     1.59628     1.59661 2.72066e-05
         122     1.59669     1.59661 2.69921e-05
         123      1.5965     1.59661 2.67867e-05
         124     1.59623     1.59661 2.67469e-05
