#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.46716     1.46716           0
           2     1.46607     1.46662 0.000384492
           3     1.46884     1.46736 0.000657231
           4      1.4695     1.46789 0.000677018
           5     1.46954     1.46822 0.000616762
           6     1.46988      1.4685 0.000572442
           7     1.47084     1.46883 0.000579875
           8     1.47038     1.46903  0.00053856
           9     1.47073     1.46922 0.000510782
          10     1.47135     1.46943 0.000502393
          11     1.47155     1.46962 0.000492401
          12     1.47071     1.46971 0.000459616
          13     1.47072     1.46979 0.000430721
          14     1.47149     1.46991 0.000416796
          15     1.47168     1.47003 0.000405329
          16     1.47152     1.47012 0.000390591
          17     1.47194     1.47023  0.00038193
          18     1.47158     1.47031 0.000367964
          19     1.47046     1.47031 0.000348689
          20     1.47188     1.47039 0.000339972
          21     1.47193     1.47047 0.000331618
          22     1.47227     1.47055 0.000326503
          23     1.47155     1.47059 0.000315178
          24     1.47203     1.47065 0.000307699
          25     1.47168     1.47069 0.000298125
          26      1.4718     1.47073 0.000289668
          27     1.47216     1.47079 0.000283746
          28     1.47133     1.47081 0.000274283
          29     1.47162     1.47083 0.000266239
          30     1.47177     1.47087 0.000259193
          31     1.47203      1.4709 0.000253529
          32     1.47176     1.47093 0.000247007
          33     1.47212     1.47097 0.000242142
          34     1.47226       1.471 0.000237989
          35     1.47138     1.47101 0.000231436
          36     1.47178     1.47104 0.000225989
          37     1.47166     1.47105 0.000220506
          38     1.47178     1.47107 0.000215527
          39     1.47199      1.4711 0.000211288
          40     1.47219     1.47112 0.000207777
          41     1.47223     1.47115 0.000204455
          42      1.4714     1.47116 0.000199674
          43     1.47146     1.47116 0.000195156
          44     1.47105     1.47116 0.000190736
          45     1.47223     1.47118 0.000187978
          46     1.47183      1.4712 0.000184419
          47     1.47199     1.47122 0.000181267
          48     1.47164     1.47122 0.000177704
          49     1.47176     1.47124 0.000174417
          50     1.47176     1.47125 0.000171242
