#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1       89.74       89.74           0
           2     88.8914     89.3157    0.300035
           3     88.5449     89.0588    0.289853
           4     91.9407     89.7792    0.660736
           5     88.5505     89.5335    0.572472
           6     90.6849     89.7254    0.508207
           7     88.5471     89.5571    0.462642
           8     91.7971     89.8371    0.482159
           9     92.9712     90.1853    0.539887
          10     90.9619      90.263    0.491452
          11     90.8035     90.3121    0.449224
          12     85.6469     89.9233    0.555082
          13     90.3243     89.9542    0.513239
          14     88.8647     89.8764    0.482443
          15     90.6837     89.9302    0.453273
          16       90.83     89.9864    0.428418
          17     91.2729     90.0621    0.409846
          18     89.5722     90.0349     0.38798
          19     92.2752     90.1528    0.385059
          20     90.0608     90.1482    0.365834
