#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.531082    0.531082           0
           2    0.506216    0.518649  0.00879166
           3    0.523831    0.520376  0.00602839
           4    0.528898    0.522507  0.00488326
           5    0.518435    0.521692  0.00397392
           6    0.519955    0.521403  0.00332213
           7    0.524919    0.521905  0.00288526
           8     0.51933    0.521583  0.00254249
           9    0.519413    0.521342   0.0022714
          10    0.528227    0.522031  0.00214608
          11    0.530577    0.522807  0.00208689
          12     0.53918    0.524172  0.00231646
          13     0.51624    0.523562  0.00221718
          14    0.537617    0.524566  0.00227478
          15    0.534512    0.525229  0.00221766
          16    0.536422    0.525928  0.00218662
          17    0.543262    0.526948  0.00228339
          18    0.532381     0.52725  0.00217639
          19    0.542415    0.528048  0.00220336
          20    0.539461    0.528619  0.00216583
