#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     2.81932     2.81932           0
           2     2.64776     2.73354   0.0606556
           3     2.94288     2.80332   0.0698665
           4     2.63702     2.76174   0.0635775
           5     2.79868     2.76913   0.0512894
           6     3.10876     2.82574   0.0670588
           7     2.66842     2.80326    0.061129
           8     2.81986     2.80534    0.053523
           9     3.10412     2.83854   0.0569485
          10      2.8015     2.83483   0.0513739
          11      2.9294     2.84343   0.0474175
          12     2.80854     2.84052    0.043555
          13     2.89948     2.84506   0.0404401
          14     3.03736     2.85879    0.039816
          15     2.90952     2.86217    0.037305
          16     3.10246     2.87719   0.0378758
          17     3.33616     2.90419   0.0442356
          18     2.97516     2.90813   0.0419534
          19     2.72412     2.89845   0.0408479
          20     3.09002     2.90803   0.0399128
