#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.585293   -0.585293           0
           2   -0.584279   -0.584786 0.000358563
           3   -0.584695   -0.584755 0.000240317
           4   -0.583597   -0.584466 0.000308902
           5   -0.582777   -0.584128 0.000390281
           6   -0.584455   -0.584183 0.000329024
           7   -0.584101   -0.584171 0.000282225
           8   -0.583772   -0.584121 0.000251322
           9   -0.584977   -0.584216 0.000240707
          10   -0.585196   -0.584314 0.000235731
          11   -0.584554   -0.584336  0.00021531
          12   -0.583848   -0.584295 0.000201169
          13   -0.584417   -0.584305 0.000185911
          14    -0.58512   -0.584363 0.000181521
          15    -0.58383   -0.584327 0.000172859
          16   -0.583556   -0.584279 0.000168637
          17   -0.586207   -0.584393 0.000193122
          18    -0.58397   -0.584369 0.000183814
          19   -0.584476   -0.584375 0.000174226
          20   -0.585191   -0.584416 0.000170223
