#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    -1.35958    -1.35958           0
           2    -2.62358    -1.99158    0.446891
           3    -0.18528    -1.38948    0.574842
           4    -0.46034    -1.15719    0.475754
           5     1.66166   -0.593424    0.631767
           6    -1.49704   -0.744027    0.544127
           7    -4.03702    -1.21445    0.638131
           8      1.6842   -0.852123    0.653181
           9     0.76502    -0.67244    0.604815
          10    -0.62764    -0.66796     0.54435
          11      0.6115   -0.551645    0.507138
          12     -0.9998   -0.588992     0.46625
          13    -0.97032   -0.618325    0.431306
          14     2.24454   -0.413834     0.44635
          15     0.89184   -0.326789    0.424996
          16     0.18908   -0.294547    0.399655
          17     0.35304   -0.256454    0.377957
          18     4.50534     0.00809    0.439904
          19    -0.62756  -0.0253653    0.418021
          20     1.51794      0.0518     0.40418
