#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.554785   -0.554785           0
           2   -0.554581   -0.554683 7.21249e-05
           3   -0.555418   -0.554928 0.000205898
           4   -0.554748   -0.554883 0.000159265
           5    -0.55296   -0.554498 0.000366835
           6   -0.554874   -0.554561  0.00031098
           7   -0.554696    -0.55458 0.000267152
           8   -0.554752   -0.554602 0.000234619
           9   -0.554982   -0.554644 0.000212314
          10   -0.555992   -0.554779 0.000229932
          11   -0.554656   -0.554768 0.000209299
          12   -0.554484   -0.554744 0.000193187
          13   -0.554949    -0.55476 0.000178968
          14   -0.554632   -0.554751 0.000166417
          15   -0.554172   -0.554712  0.00015973
          16   -0.553906   -0.554662 0.000157483
          17   -0.555698   -0.554723 0.000159591
          18   -0.554304   -0.554699  0.00015241
          19   -0.554714     -0.5547  0.00014439
          20   -0.555359   -0.554733 0.000140881
