#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.213608    0.213608           0
           2    0.210785    0.212197 0.000998305
           3    0.211994    0.212129 0.000667818
           4    0.212218    0.212151 0.000501233
           5    0.212401    0.212201 0.000403468
           6    0.210606    0.211935 0.000414691
           7    0.210047    0.211666 0.000434386
           8    0.211224    0.211611 0.000383577
           9    0.213632    0.211835 0.000401394
          10    0.212942    0.211946 0.000376197
          11    0.212111    0.211961 0.000342296
          12    0.209822    0.211783 0.000357175
          13    0.211706    0.211777 0.000329748
          14    0.210889    0.211713 0.000312233
          15    0.213195    0.211812 0.000306641
          16    0.212868    0.211878 0.000294497
          17    0.213178    0.211955  0.00028693
          18    0.212055     0.21196 0.000271044
          19     0.21269    0.211999 0.000259485
          20    0.211996    0.211998 0.000246511
