#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.52026     1.52026           0
           2     1.48832     1.50429    0.011293
           3     1.54414     1.51757    0.013202
           4     1.51484     1.51689  0.00991916
           5     1.50509     1.51453  0.00821135
           6     1.52059     1.51554   0.0069046
           7     1.53128     1.51779  0.00627382
           8      1.4905     1.51437   0.0063497
           9     1.51155     1.51406  0.00565193
          10     1.51912     1.51457  0.00510935
          11     1.50453     1.51366  0.00472557
          12     1.51517     1.51378  0.00433347
          13     1.50382     1.51302  0.00406725
          14     1.49252     1.51155  0.00403155
          15     1.50421     1.51106  0.00379238
          16     1.50277     1.51054  0.00359064
          17     1.51488      1.5108  0.00338849
          18     1.51164     1.51085  0.00320056
          19     1.50239      1.5104  0.00306287
          20     1.51071     1.51042  0.00290977
