#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.768219   -0.768219           0
           2   -0.768119   -0.768169 3.52875e-05
           3    -0.76761   -0.767983 0.000153858
           4   -0.767683   -0.767908 0.000132375
           5   -0.766934   -0.767713 0.000203863
           6   -0.768625   -0.767865 0.000219333
           7    -0.76841   -0.767943 0.000201342
           8   -0.767748   -0.767918 0.000177638
           9   -0.766265   -0.767735 0.000234413
          10   -0.768776   -0.767839 0.000232945
          11   -0.766356   -0.767704 0.000247713
          12   -0.768383   -0.767761  0.00023345
          13   -0.768306   -0.767803 0.000219236
          14   -0.767564   -0.767786 0.000204237
          15   -0.767108    -0.76774 0.000195553
          16   -0.767307   -0.767713 0.000185196
          17   -0.767082   -0.767676 0.000177986
          18    -0.76583   -0.767574 0.000195431
          19   -0.767956   -0.767594 0.000186176
          20   -0.767213   -0.767575 0.000177837
