#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.350853    0.350853           0
           2     0.35119    0.351022 0.000119068
           3    0.349659    0.350568 0.000379213
           4    0.348249    0.349988 0.000576982
           5    0.348181    0.349627 0.000563464
           6     0.34821    0.349391 0.000516621
           7    0.349593    0.349419 0.000443624
           8    0.350396    0.349541 0.000404621
           9    0.353049    0.349931 0.000514174
          10    0.349555    0.349894 0.000464131
          11    0.349294    0.349839 0.000425128
          12    0.352023    0.350021 0.000426894
          13    0.350746    0.350077 0.000397681
          14    0.348977    0.349998 0.000376949
          15    0.349026    0.349933  0.00035735
          16    0.346278    0.349705 0.000401451
          17    0.353043    0.349901 0.000423134
          18    0.349064    0.349855 0.000402177
          19    0.350621    0.349895 0.000383028
          20    0.350299    0.349915 0.000364409
