#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.59946     2.59946           0
           2     2.58475     2.59211  0.00519865
           3     2.56337     2.58253  0.00855326
           4     2.59234     2.58498  0.00675739
           5     2.59033     2.58605  0.00548986
           6     2.60237     2.58877  0.00520488
           7     2.60694     2.59137  0.00506767
           8     2.62575     2.59566   0.0059852
           9     2.54716     2.59027   0.0073569
          10     2.61611     2.59286  0.00706021
          11     2.62776     2.59603  0.00709549
          12     2.58708     2.59528  0.00654326
          13     2.58941     2.59483  0.00605551
          14     2.60256     2.59538  0.00564805
          15     2.59489     2.59535  0.00527161
          16     2.61538      2.5966  0.00508853
          17     2.60649     2.59718  0.00482232
          18     2.58533     2.59653  0.00459916
          19     2.57767     2.59553  0.00446285
          20     2.58853     2.59518  0.00425342
