#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     1.93572     1.93572           0
           2     2.13794     2.03683   0.0714956
           3      1.9496     2.00775   0.0532491
           4     1.99856     2.00545   0.0399864
           5     1.89496     1.98336   0.0376031
           6     1.97332     1.98168   0.0313731
           7      1.9986      1.9841   0.0269842
           8     1.89796     1.97333   0.0256697
           9     1.84526      1.9591   0.0264696
          10     2.16466     1.97966   0.0307864
          11      2.0717     1.98803   0.0291025
          12       1.967     1.98627     0.02673
          13     1.69724     1.96404   0.0326358
          14     2.03632      1.9692   0.0307103
          15     1.80276     1.95811    0.030602
          16     1.72752     1.94369   0.0319029
          17     1.72734     1.93097   0.0324657
          18     1.76358     1.92167   0.0319661
          19     1.83076     1.91688   0.0306397
          20     2.03326      1.9227   0.0296551
