#   N_BLOCK:  ACCEPTANCE:
           1    0.533515
           2    0.533525
           3    0.533518
           4    0.533496
           5    0.533488
           6    0.533456
           7    0.533484
           8    0.533473
           9    0.533488
          10    0.533542
          11    0.533587
          12    0.533587
          13    0.533603
          14    0.533595
          15    0.533587
          16     0.53359
          17    0.533575
          18      0.5336
          19    0.533595
          20    0.533605
