#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     5.58795     5.58795           0
           2     5.68949     5.63872   0.0358999
           3     5.54646     5.60797   0.0346893
           4      5.6402     5.61603   0.0269367
           5     5.64805     5.62243   0.0222979
           6     5.59099     5.61719   0.0191875
           7     5.59167     5.61355   0.0167892
           8     5.61578     5.61383   0.0146929
           9     5.62708      5.6153    0.013134
          10     5.59479     5.61325   0.0119796
          11     5.71772     5.62274   0.0141635
          12     5.63284     5.62359   0.0130082
          13     5.80187      5.6373   0.0178269
          14     5.59704     5.63442   0.0167839
          15      5.6828     5.63765   0.0159718
          16     5.58345     5.63426   0.0153286
          17     5.44766     5.62329   0.0179315
          18     5.62602     5.62344   0.0169359
          19     5.53314     5.61868    0.016698
          20     5.51313     5.61341   0.0166764
