#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.01448     0.01448           0
           2     0.12846     0.07147    0.040298
           3    -0.07446   0.0228267   0.0479499
           4     0.16322    0.057925   0.0470873
           5    -0.10556    0.025228   0.0476896
           6    -0.29286  -0.0277867   0.0626219
           7    -0.00976  -0.0252114   0.0537288
           8     0.40062   0.0280175   0.0684788
           9     -0.1156     0.01206   0.0627018
          10     0.17232    0.028086   0.0584438
          11     0.02694   0.0279818   0.0531308
          12     0.20332   0.0425933   0.0506726
          13     0.00082     0.03938   0.0468765
          14    -0.01692   0.0353586   0.0437003
          15     0.07602   0.0380693   0.0408709
          16    -0.19538   0.0234788   0.0408379
          17     0.18432     0.03294   0.0395165
          18    -0.07718   0.0268222   0.0377917
          19    -0.16658   0.0166432   0.0371482
          20    -0.04632    0.013495    0.035424
