#   N_BLOCK:  ACCEPTANCE:
           1    0.445388
           2    0.445424
           3    0.445401
           4    0.445386
           5    0.445415
           6    0.445388
           7    0.445415
           8    0.445369
           9    0.445353
          10    0.445364
          11    0.445398
          12    0.445398
          13    0.445419
          14    0.445351
          15    0.445361
          16    0.445389
          17    0.445413
          18     0.44545
          19    0.445422
          20    0.445431
