#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.505702   -0.505702           0
           2   -0.504814   -0.505258 0.000314238
           3   -0.504284   -0.504933 0.000337875
           4   -0.505101   -0.504975 0.000255987
           5   -0.504708   -0.504922 0.000210293
           6   -0.505795   -0.505067 0.000219933
           7   -0.504718   -0.505017 0.000194106
           8   -0.504434   -0.504945 0.000183011
           9   -0.504866   -0.504936 0.000162882
          10    -0.50481   -0.504923 0.000147076
          11   -0.504554    -0.50489 0.000137475
          12   -0.505087   -0.504906    0.000127
          13   -0.503839   -0.504824 0.000141285
          14   -0.506054   -0.504912 0.000156119
          15   -0.504705   -0.504898  0.00014632
          16   -0.504201   -0.504855  0.00014352
          17   -0.504602    -0.50484 0.000135846
          18   -0.504138   -0.504801 0.000133769
          19   -0.504742   -0.504798 0.000126764
          20   -0.504596   -0.504788 0.000120826
