#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.211266    0.211266           0
           2    0.213084    0.212175 0.000642513
           3    0.213263    0.212538  0.00052072
           4    0.213523    0.212784 0.000445016
           5     0.21255    0.212737  0.00035846
           6    0.210475     0.21236 0.000455788
           7    0.212455    0.212374 0.000390876
           8    0.212603    0.212402  0.00034307
           9    0.212619    0.212427 0.000305796
          10     0.21313    0.212497 0.000283182
          11    0.213456    0.212584 0.000270542
          12     0.21128    0.212475 0.000268939
          13    0.212505    0.212478 0.000248261
          14    0.211717    0.212423   0.0002364
          15    0.212188    0.212408 0.000221159
          16    0.212058    0.212386 0.000208415
          17    0.213013    0.212423   0.0001994
          18    0.211498    0.212371 0.000194828
          19    0.211701    0.212336  0.00018774
          20    0.211334    0.212286 0.000184924
