#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.174554    0.174554           0
           2     0.14464    0.159597   0.0105762
           3    0.202528    0.173907   0.0136469
           4     0.15779    0.169878   0.0108137
           5    0.171472    0.170197  0.00865563
           6    0.149026    0.166668  0.00789954
           7    0.172982     0.16757  0.00682233
           8    0.179828    0.169103  0.00613919
           9     0.17917    0.170221  0.00555803
          10    0.167116    0.169911   0.0050109
          11    0.141922    0.167366  0.00516109
          12    0.132148    0.164431  0.00550253
          13    0.155528    0.163746  0.00512171
          14    0.139642    0.162025  0.00503696
          15    0.139488    0.160522  0.00492014
          16    0.170242     0.16113  0.00464998
          17     0.13689    0.159704  0.00458987
          18    0.177354    0.160684  0.00443838
          19    0.207242    0.163135  0.00483411
          20    0.172646     0.16361  0.00461574
