#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.661066   -0.661066           0
           2   -0.665071   -0.663068  0.00141583
           3   -0.664434   -0.663524  0.00101445
           4   -0.663189    -0.66344 0.000764291
           5   -0.661373   -0.663026 0.000714555
           6   -0.663525    -0.66311  0.00060028
           7     -0.6651   -0.663394 0.000577949
           8   -0.665077   -0.663604 0.000542649
           9   -0.663553   -0.663599 0.000482386
          10   -0.662165   -0.663455  0.00045494
          11   -0.666044   -0.663691 0.000470547
          12   -0.664413   -0.663751 0.000435172
          13   -0.663664   -0.663744 0.000401749
          14   -0.664635   -0.663808 0.000378055
          15   -0.662332   -0.663709 0.000365423
          16   -0.663508   -0.663697 0.000342801
          17   -0.663062   -0.663659 0.000324663
          18   -0.666442   -0.663814 0.000341444
          19   -0.661382   -0.663686 0.000346631
          20   -0.661916   -0.663598 0.000340416
