#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.14224     2.14224           0
           2     2.24756      2.1949   0.0372351
           3     2.17658     2.18879   0.0253194
           4     2.22727     2.19841   0.0207361
           5     2.20017     2.19876   0.0165918
           6     2.14714     2.19016   0.0159021
           7     2.21635      2.1939   0.0140636
           8     2.15943     2.18959   0.0129488
           9     2.19989     2.19074   0.0115605
          10     2.16249     2.18791   0.0107439
          11     2.15053     2.18451   0.0102906
          12     2.22139     2.18759  0.00988116
          13     2.19586     2.18822  0.00914152
          14     2.09294     2.18142   0.0107268
          15     2.18567      2.1817   0.0100154
          16     2.16072     2.18039  0.00947495
          17     2.19759      2.1814  0.00897146
          18     2.22337     2.18373  0.00877077
          19     2.18598     2.18385  0.00830995
          20     2.26391     2.18785  0.00880584
