#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.263976    0.263976           0
           2    0.263641    0.263809 0.000118566
           3    0.265169    0.264262 0.000378487
           4    0.270066    0.265713  0.00128822
           5    0.262457    0.265062  0.00118376
           6    0.263407    0.264786   0.0010181
           7    0.265139    0.264836 0.000873901
           8      0.2636    0.264682 0.000778204
           9    0.263828    0.264587 0.000697502
          10    0.261269    0.264255 0.000702224
          11    0.263959    0.264228   0.0006389
          12    0.263617    0.264177 0.000587684
          13     0.26539    0.264271 0.000549837
          14    0.264183    0.264264 0.000510598
          15    0.263338    0.264203 0.000480279
          16    0.263357     0.26415 0.000453164
          17     0.26007     0.26391 0.000485914
          18    0.266746    0.264067 0.000483797
          19    0.259268    0.263815 0.000520107
          20    0.265252    0.263887 0.000499042
