#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.347552    0.347552           0
           2    0.364148     0.35585  0.00586757
           3    0.334454    0.348718  0.00701509
           4     0.36857    0.353681  0.00679381
           5    0.334562    0.349857  0.00642157
           6    0.342268    0.348592  0.00547448
           7    0.358939     0.35007  0.00488787
           8    0.351535    0.350254  0.00428031
           9    0.360049    0.351342  0.00394066
          10     0.35748    0.351956  0.00359408
          11    0.336724    0.350571    0.003524
          12    0.320278    0.348047  0.00403446
          13    0.375391     0.35015   0.0042371
          14    0.350714     0.35019  0.00393464
          15    0.321669    0.348289  0.00410614
          16    0.359461    0.348987  0.00390842
          17         0.3    0.346106  0.00462024
          18    0.353169    0.346498  0.00438019
          19    0.354445    0.346916  0.00416958
          20    0.323745    0.345758  0.00411892
