#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.050788    0.050788           0
           2    -0.09511   -0.022161   0.0515827
           3    0.011514   -0.010936   0.0355889
           4   -0.065138  -0.0244865   0.0291574
           5   -0.211392  -0.0618676   0.0407674
           6   -0.028524  -0.0563103   0.0343495
           7    0.078158  -0.0371006    0.034397
           8   -0.008812  -0.0335645   0.0302786
           9      0.0655  -0.0225573   0.0288457
          10    -0.16752  -0.0370536   0.0293787
          11    0.016654  -0.0321711   0.0271106
          12    0.003586  -0.0291913   0.0250146
          13   -0.080386  -0.0331294   0.0233983
          14    -0.03967  -0.0335966   0.0217317
          15   -0.162618   -0.042198   0.0219191
          16   -0.044304  -0.0423296   0.0205496
          17    -0.05385  -0.0430073    0.019352
          18    0.057582   -0.037419   0.0190667
          19    0.115288  -0.0293818   0.0196844
          20    0.052726  -0.0252764   0.0191235
