#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.848076   -0.848076           0
           2   -0.843548   -0.845812  0.00160089
           3   -0.841068   -0.844231  0.00167515
           4   -0.841608   -0.843575  0.00137872
           5   -0.842448    -0.84335  0.00112125
           6   -0.844192    -0.84349 0.000943123
           7   -0.843676   -0.843517 0.000808766
           8   -0.842976   -0.843449 0.000710487
           9   -0.844072   -0.843518 0.000634907
          10   -0.842604   -0.843427 0.000577961
          11    -0.84734   -0.843783 0.000625392
          12   -0.849816   -0.844285 0.000748582
          13   -0.841068   -0.844038 0.000730765
          14    -0.84634   -0.844202 0.000696823
          15   -0.839008   -0.843856 0.000731368
          16   -0.843012   -0.843803 0.000687557
          17    -0.84802   -0.844051 0.000690406
          18    -0.83802   -0.843716 0.000728839
          19   -0.842472   -0.843651 0.000693414
          20    -0.84826   -0.843881 0.000695989
