#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     6.37878     6.37878           0
           2     5.97158     6.17518    0.143967
           3     6.10493     6.15177    0.097864
           4      6.2734     6.18217   0.0779789
           5      5.8034     6.10642   0.0921021
           6     6.23668     6.12813    0.079269
           7     6.45924     6.17543   0.0808352
           8     5.99536     6.15292   0.0737982
           9     6.43046     6.18376   0.0717529
          10     5.97238     6.16262   0.0676193
          11     6.29405     6.17457   0.0625188
          12     6.07782     6.16651   0.0578264
          13     6.12068     6.16298   0.0534856
          14     6.17462     6.16381   0.0496717
          15     5.88185     6.14502   0.0497901
          16     5.87557     6.12818   0.0494442
          17     6.23791     6.13463   0.0469552
          18     6.41148     6.15001   0.0467979
          19      5.9155     6.13767   0.0459337
          20     5.95297     6.12843   0.0445556
