#   N_BLOCK:  ACCEPTANCE:
           1   0.0317097
           2   0.0325609
           3   0.0324579
           4   0.0323024
           5   0.0323578
           6   0.0323193
           7   0.0321618
           8   0.0320151
           9   0.0321519
          10   0.0322991
          11   0.0320006
          12   0.0318006
          13   0.0319184
          14   0.0317275
          15   0.0318543
          16   0.0316986
          17   0.0315939
          18    0.031719
          19   0.0314361
          20   0.0315779
