#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.155808    0.155808           0
           2    0.181948    0.168878  0.00924189
           3    0.152186    0.163314  0.00765505
           4    0.191002    0.170236  0.00830048
           5     0.19821    0.175831  0.00831481
           6     0.19763    0.179464  0.00768188
           7     0.19075    0.181076  0.00675155
           8    0.185712    0.181656  0.00593242
           9    0.167688    0.180104   0.0054725
          10    0.169462     0.17904  0.00502766
          11    0.149198    0.176327  0.00525176
          12    0.157014    0.174717   0.0050547
          13    0.182858    0.175344   0.0047045
          14    0.198908    0.177027  0.00465985
          15    0.192174    0.178037  0.00445727
          16    0.164024    0.177161  0.00426386
          17    0.175098    0.177039  0.00401477
          18    0.190734      0.1778  0.00386315
          19    0.183376    0.178094  0.00367095
          20    0.162714    0.177325  0.00356704
