#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.425701    0.425701           0
           2    0.436516    0.431109  0.00382384
           3    0.422983      0.4284  0.00337483
           4     0.43297    0.429543  0.00271766
           5    0.423063    0.428247  0.00246382
           6    0.444999    0.431039  0.00327283
           7    0.429122    0.430765  0.00281672
           8    0.414199    0.428694  0.00313467
           9    0.435879    0.429492  0.00288624
          10    0.419085    0.428452  0.00277892
          11    0.429267    0.428526  0.00252728
          12     0.43552    0.429109  0.00238294
          13    0.439793    0.429931  0.00233708
          14    0.411304      0.4286  0.00252058
          15    0.434038    0.428963  0.00237846
          16     0.42956       0.429   0.0022301
          17     0.43199    0.429176  0.00210584
          18    0.439306    0.429739  0.00206268
          19    0.435276     0.43003   0.0019746
          20     0.41542      0.4293  0.00200645
