#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.646067   -0.646067           0
           2   -0.646688   -0.646378 0.000219557
           3   -0.643957   -0.645571 0.000674916
           4   -0.644096   -0.645202 0.000598469
           5    -0.64756   -0.645674 0.000638072
           6   -0.645277   -0.645607 0.000535148
           7   -0.645231   -0.645554 0.000461387
           8   -0.647341   -0.645777 0.000454569
           9   -0.644645   -0.645651 0.000421115
          10   -0.646685   -0.645755  0.00039148
          11   -0.644547   -0.645645 0.000370971
          12   -0.643541    -0.64547 0.000379219
          13   -0.646825   -0.645574 0.000364101
          14   -0.643991   -0.645461 0.000355208
          15   -0.643451   -0.645327  0.00035591
          16   -0.646848   -0.645422 0.000346133
          17   -0.647573   -0.645548 0.000348128
          18   -0.644802   -0.645507 0.000331248
          19   -0.647281     -0.6456  0.00032671
          20   -0.647664   -0.645703 0.000326263
