#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.51852     1.51852           0
           2     1.51321     1.51587  0.00187752
           3     1.51799     1.51657  0.00137824
           4     1.51992     1.51741  0.00126206
           5     1.49636      1.5132  0.00389783
           6     1.48867     1.50911  0.00494772
           7     1.51471     1.50991  0.00430499
           8     1.48483     1.50678  0.00477385
           9     1.53675     1.51011   0.0052785
          10     1.48351     1.50745  0.00537923
          11     1.48366     1.50528  0.00530715
          12     1.50421     1.50519  0.00486564
          13     1.50341     1.50506   0.0044933
          14     1.52249      1.5063  0.00434144
          15     1.48745     1.50505  0.00422999
          16      1.5167     1.50577  0.00402782
          17     1.45279     1.50266  0.00484893
          18     1.46274     1.50044  0.00506124
          19     1.54638     1.50286  0.00534134
          20     1.48527     1.50198  0.00514615
