#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -0.7032     -0.7032           0
           2   -0.705488   -0.704344  0.00080893
           3   -0.703332   -0.704007 0.000605552
           4   -0.702252   -0.703568 0.000592103
           5   -0.704724   -0.703799 0.000516854
           6   -0.707588   -0.704431 0.000719586
           7   -0.704736   -0.704474 0.000618109
           8   -0.706468   -0.704723 0.000588946
           9    -0.70416   -0.704661 0.000526825
          10   -0.708952    -0.70509 0.000624927
          11   -0.706092   -0.705181 0.000574716
          12    -0.70464   -0.705136 0.000528589
          13   -0.704696   -0.705102 0.000489011
          14   -0.704676   -0.705072 0.000455028
          15   -0.703464   -0.704965 0.000437134
          16   -0.705712   -0.705011 0.000412302
          17   -0.705016   -0.705012 0.000388049
          18   -0.703572   -0.704932 0.000374641
          19   -0.703556   -0.704859  0.00036185
          20   -0.707416   -0.704987 0.000365645
