#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.006604    0.006604           0
           2   -0.017184    -0.00529  0.00841033
           3    -0.00458 -0.00505333  0.00561021
           4    0.002042  -0.0032795  0.00447932
           5    0.003938   -0.001836  0.00380895
           6      0.0015    -0.00128  0.00321445
           7    0.005412   -0.000324  0.00289391
           8    0.003718  0.00018125   0.0025759
           9    -0.01704 -0.00173222    0.002915
          10    0.001046  -0.0014544  0.00263671
          11   -0.002188 -0.00152109  0.00239785
          12    0.010232-0.000541667   0.0023897
          13   -0.004296-0.000830462  0.00222326
          14   -0.007188 -0.00128457  0.00211032
          15   -0.012746 -0.00204867  0.00210342
          16     0.00476 -0.00162312  0.00201454
          17   -0.009236 -0.00207094  0.00194518
          18    0.001532 -0.00187078  0.00184738
          19   -0.003566    -0.00196   0.0017523
          20   -0.001212  -0.0019226  0.00166509
