#   N_BLOCK:  ACCEPTANCE:
           1    0.386882
           2    0.386982
           3    0.387099
           4    0.387173
           5    0.387003
           6    0.387069
           7    0.387038
           8    0.387065
           9    0.387107
          10    0.387221
          11    0.387231
          12    0.387216
          13    0.387069
          14    0.387024
          15    0.387094
          16    0.386993
          17    0.386937
          18    0.386948
          19    0.386904
          20    0.386812
