#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.255802    0.255802           0
           2    0.251153    0.253477  0.00164385
           3    0.255758    0.254238  0.00125941
           4    0.250655    0.253342   0.0012222
           5    0.252438    0.253161 0.000991032
           6     0.25386    0.253278 0.000832673
           7    0.254141    0.253401 0.000722803
           8    0.254662    0.253559   0.0006494
           9      0.2583    0.254085 0.000761503
          10    0.249049    0.253582  0.00083547
          11    0.257687    0.253955 0.000838739
          12    0.248512    0.253501 0.000883006
          13    0.249603    0.253201 0.000864503
          14    0.252704    0.253166 0.000803482
          15     0.25457     0.25326 0.000755347
          16    0.254818    0.253357 0.000714391
          17    0.252846    0.253327    0.000673
          18    0.252357    0.253273 0.000637764
          19    0.257281    0.253484 0.000638127
          20    0.249112    0.253265 0.000642566
