#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.49404     1.49404           0
           2     1.59763     1.54583   0.0366229
           3     1.53552     1.54239   0.0245761
           4     1.53659     1.54094   0.0184749
           5     1.51311     1.53538   0.0155959
           6     1.55608     1.53883   0.0133728
           7     1.56578     1.54268    0.012004
           8      1.5586     1.54467   0.0106672
           9     1.56232     1.54663  0.00966063
          10     1.54521     1.54649  0.00869562
          11      1.5552     1.54728   0.0079411
          12     1.53998     1.54667  0.00730259
          13     1.53559     1.54582  0.00679039
          14     1.54421      1.5457  0.00630634
          15     1.60036     1.54935  0.00685811
          16     1.52872     1.54806  0.00654956
          17     1.54823     1.54807   0.0061643
          18     1.54131     1.54769  0.00583328
          19     1.50596      1.5455  0.00592541
          20     1.52867     1.54465  0.00568855
