#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.341859    0.341859           0
           2    0.329546    0.335703  0.00435325
           3    0.320792    0.330732  0.00498922
           4    0.324433    0.329158  0.00398273
           5    0.337337    0.330794  0.00350613
           6    0.340328    0.332383  0.00326204
           7    0.332634    0.332418  0.00279623
           8    0.334019    0.332618  0.00245385
           9    0.316331    0.330809  0.00276925
          10    0.317208    0.329449  0.00280654
          11    0.311143    0.327784  0.00300453
          12    0.344781    0.329201  0.00306991
          13    0.306269    0.327437  0.00330192
          14    0.308241    0.326066  0.00333864
          15    0.329174    0.326273  0.00312249
          16    0.329862    0.326497  0.00293538
          17    0.317007    0.325939   0.0028153
          18    0.330602    0.326198  0.00267078
          19    0.329896    0.326393   0.0025373
          20    0.326133     0.32638  0.00241047
