#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     77.6833     77.6833           0
           2     79.1011     78.3922    0.501256
           3     79.8533     78.8792    0.519426
           4     79.3846     79.0056    0.404643
           5     78.8425     78.9729    0.325026
           6     78.4489     78.8856    0.282346
           7     79.1027     78.9166    0.243708
           8     78.5463     78.8703    0.217597
           9     80.1301     79.0103    0.234155
          10     79.7785     79.0871    0.222986
          11     81.4721     79.3039     0.28953
          12     78.2707     79.2178    0.277911
          13     81.3778      79.384    0.302147
          14     81.8248     79.5583    0.327019
          15     79.7117     79.5686    0.305378
          16     77.9061     79.4646    0.303454
          17     80.4958     79.5253    0.291603
          18     79.3141     79.5136    0.275639
          19     78.7989      79.476    0.263685
          20     78.9238     79.4483    0.251942
