        #BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.45683     1.45683           0
           2     1.40182     1.42932   0.0194468
           3     1.41069     1.42311   0.0139217
           4     1.42683     1.42404   0.0104722
           5     1.40625     1.42048  0.00896176
           6     1.40547     1.41798  0.00780973
           7     1.38716     1.41358  0.00783761
           8     1.38092      1.4095  0.00784906
           9     1.40578     1.40908  0.00698781
          10     1.36608     1.40478  0.00749626
    
