#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.468631    0.468631           0
           2    0.447157    0.457894  0.00759235
           3    0.460064    0.458617  0.00509592
           4    0.403828     0.44492   0.0124627
           5    0.495666    0.455069   0.0134836
           6    0.484529    0.459979   0.0120973
           7    0.419391    0.454181   0.0116764
           8    0.455419    0.454336   0.0102178
           9    0.444879    0.453285  0.00913638
          10    0.430357    0.450992  0.00850558
          11    0.448849    0.450797  0.00773457
          12    0.436332    0.449592  0.00718334
          13    0.401014    0.445855  0.00754031
          14      0.4184    0.443894  0.00725225
          15    0.430579    0.443006  0.00682288
          16    0.420262    0.441585  0.00654285
          17     0.38017    0.437972   0.0070855
          18    0.451354    0.438716  0.00673075
          19    0.442492    0.438914  0.00637943
          20    0.458004    0.439869  0.00613145
