#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     18.4134     18.4134           0
           2     18.7201     18.5668    0.108449
           3     18.5992     18.5776   0.0728372
           4     18.3524     18.5213   0.0732227
           5     19.1008     18.6372    0.119075
           6     18.8595     18.6742    0.104833
           7     18.9621     18.7154   0.0975918
           8     18.6373     18.7056    0.085879
           9     17.9939     18.6265    0.106708
          10     18.7997     18.6439   0.0974328
          11     18.8047     18.6585   0.0896665
          12     18.3313     18.6312   0.0862393
          13     18.6725     18.6344    0.079664
          14     18.2616     18.6078   0.0782976
          15     18.5051     18.6009   0.0733763
          16     18.3214     18.5835   0.0708389
          17     17.7105     18.5321   0.0832281
          18     19.2063     18.5696    0.086623
          19     19.5306     18.6201   0.0956984
          20     18.3662     18.6074   0.0917517
