#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     0.27442     0.27442           0
           2    0.273412    0.273916 0.000356339
           3    0.271214    0.273015 0.000772935
           4    0.272452    0.272875  0.00059237
           5    0.271773    0.272654 0.000513264
           6    0.272113    0.272564 0.000435562
           7    0.270963    0.272335 0.000429243
           8    0.273876    0.272528 0.000416562
           9    0.274148    0.272708 0.000407311
          10    0.273855    0.272823 0.000382386
          11    0.275813    0.273094 0.000433623
          12    0.270863    0.272908 0.000435525
          13    0.272205    0.272854 0.000405376
          14    0.272863    0.272855 0.000376421
          15    0.272738    0.272847 0.000351406
          16    0.271128     0.27274 0.000345486
          17    0.272369    0.272718  0.00032585
          18    0.271634    0.272658 0.000313261
          19    0.274065    0.272732 0.000305406
          20    0.273882    0.272789 0.000295498
