#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.462802   -0.462802           0
           2   -0.462584   -0.462693 7.71171e-05
           3   -0.463089   -0.462825 0.000119599
           4   -0.463002   -0.462869 9.75505e-05
           5    -0.46273   -0.462841  8.1944e-05
           6   -0.462836    -0.46284 6.82919e-05
           7   -0.463125   -0.462881 6.95629e-05
           8   -0.463118   -0.462911 6.68776e-05
           9    -0.46288   -0.462907 5.95343e-05
          10   -0.463454   -0.462962  7.4587e-05
          11   -0.462873   -0.462954 6.82391e-05
          12   -0.462741   -0.462936 6.48193e-05
          13   -0.463679   -0.462993 8.12272e-05
          14   -0.462862   -0.462984 7.59674e-05
          15   -0.462236   -0.462934 8.57229e-05
          16   -0.463165   -0.462948 8.15746e-05
          17   -0.462848   -0.462943 7.69882e-05
          18   -0.462926   -0.462942 7.27165e-05
          19   -0.462385   -0.462912 7.45672e-05
          20   -0.464528   -0.462993 0.000105915
