#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      41.732      41.732           0
           2     44.0702     42.9011     0.82667
           3     45.1247     43.6423    0.818521
           4     44.6753     43.9005     0.65336
           5     44.9526      44.111    0.555537
           6     43.1663     43.9535    0.484744
           7     44.6885     44.0585    0.426716
           8      44.334      44.093    0.374764
           9     42.9737     43.9686    0.353155
          10     46.5727      44.229    0.402562
          11      46.284     44.4158    0.407011
          12     46.1962     44.5642    0.399218
          13     44.1968     44.5359    0.369508
          14     44.3188     44.5204     0.34344
          15     42.8386     44.4083    0.338351
          16     44.6767     44.4251     0.31762
          17     41.9785     44.2811    0.329935
          18     45.3647     44.3413    0.317049
          19     44.5853     44.3542    0.300622
          20     46.3874     44.4558    0.302292
