#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1  -0.0254032  -0.0254032           0
           2  -0.0491368    -0.03727  0.00839109
           3   0.0046332  -0.0233023   0.0127027
           4  -0.0437268  -0.0284084   0.0105033
           5   0.0402736   -0.014672   0.0148847
           6  -0.0115164  -0.0141461   0.0124132
           7   0.0072264  -0.0110929    0.011009
           8  -0.0075692  -0.0106524  0.00964168
           9   0.0046148 -0.00895604  0.00871833
          10   0.0063224  -0.0074282  0.00797925
          11  -0.0271916 -0.00922487  0.00745339
          12  -0.0524716  -0.0128288  0.00765413
          13  -0.0037056   -0.012127  0.00709745
          14  -0.0092068  -0.0119184  0.00659355
          15   0.0332332 -0.00890829  0.00680648
          16  -0.0299408  -0.0102228  0.00650678
          17  -0.0807404  -0.0143709  0.00732791
          18    0.033684  -0.0117012  0.00739114
          19   0.0153004  -0.0102801  0.00713745
          20  -0.0125528  -0.0103937  0.00678148
