#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.761888   -0.761888           0
           2   -0.760862   -0.761375 0.000362604
           3   -0.762683   -0.761811  0.00043031
           4   -0.761254   -0.761672 0.000344513
           5   -0.762152   -0.761768 0.000288676
           6   -0.761596   -0.761739 0.000241982
           7   -0.762313   -0.761821 0.000220846
           8   -0.761713   -0.761808 0.000193656
           9   -0.761264   -0.761747 0.000181317
          10   -0.761138   -0.761686 0.000173107
          11   -0.761138   -0.761637 0.000164402
          12   -0.762051   -0.761671 0.000154292
          13   -0.761772   -0.761679 0.000142618
          14   -0.760729   -0.761611 0.000147696
          15   -0.760786   -0.761556 0.000147725
          16    -0.76211   -0.761591 0.000142487
          17   -0.762458   -0.761642 0.000142941
          18   -0.762106   -0.761667 0.000137313
          19   -0.763378   -0.761757 0.000156859
          20    -0.76142   -0.761741 0.000149921
