#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0024244   0.0024244           0
           2   0.0007116    0.001568 0.000605566
           3   0.0008088  0.00131493 0.000453517
           4    0.000582   0.0011317 0.000375333
           5  -0.0016892  0.00056752 0.000587196
           6  -0.0031064   -4.48e-05 0.000742893
           7  -0.0036588-0.000561086 0.000796205
           8   -3.28e-05 -0.00049505 0.000699413
           9     0.00196-0.000222267 0.000672796
          10   0.0029696   9.692e-05 0.000677009
          11  -0.0019464-8.88364e-05  0.00064044
          12  -0.0021204-0.000258133 0.000609035
          13  -0.0022172-0.000408831 0.000580531
          14  -0.0053736-0.000763457 0.000638254
          15   0.0003968-0.000686107 0.000600372
          16   0.0026816-0.000475625 0.000598609
          17  -0.0065988-0.000835812 0.000662962
          18  -0.0016528  -0.0008812 0.000627683
          19   0.0045888-0.000593305 0.000657363
          20  -0.0003864 -0.00058296 0.000624576
