#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      32.744      32.744           0
           2      32.566      32.655   0.0629406
           3     30.8136     32.0412    0.502907
           4     31.3363      31.865    0.406885
           5     32.0764     31.9073    0.327698
           6     32.0557      31.932    0.274014
           7     31.9226     31.9307    0.234872
           8     33.4733     32.1235     0.27344
           9     31.6652     32.0726    0.247752
          10     31.0664     31.9719     0.24255
          11      33.622     32.1219    0.262822
          12     31.5707      32.076    0.244901
          13     33.1035     32.1551    0.238476
          14     32.5102     32.1804    0.222787
          15     32.6529     32.2119     0.21015
          16      32.004     32.1989    0.197417
          17     32.3748     32.2093    0.186075
          18     31.4248     32.1657    0.180768
          19     32.2584     32.1706     0.17132
          20     32.4045     32.1823    0.163153
