#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0829704   0.0829704           0
           2    0.082298   0.0826342 0.000237729
           3   0.0876464   0.0843049  0.00137332
           4   0.0825748   0.0838724  0.00109599
           5   0.0912496   0.0853478  0.00158439
           6   0.0897784   0.0860863  0.00148245
           7   0.0890372   0.0865078  0.00132926
           8   0.0875732    0.086641  0.00116976
           9   0.0857068   0.0865372  0.00104438
          10    0.083692   0.0862527 0.000977929
          11   0.0848664   0.0861267  0.00089711
          12    0.093458   0.0867376  0.00100916
          13   0.0959908   0.0874494  0.00115561
          14   0.0846344   0.0872483  0.00109041
          15   0.0859916   0.0871645  0.00102093
          16   0.0948244   0.0876433  0.00106346
          17    0.089404   0.0877468  0.00100594
          18    0.091292   0.0879438 0.000969142
          19   0.0845548   0.0877654 0.000934405
          20   0.0894328   0.0878488 0.000891396
