#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.648517   -0.648517           0
           2   -0.649426   -0.648971 0.000321369
           3   -0.648995   -0.648979 0.000214346
           4   -0.648457   -0.648849 0.000196575
           5   -0.649741   -0.649027  0.00022411
           6   -0.649234   -0.649062  0.00018938
           7   -0.649549   -0.649131 0.000174665
           8    -0.64938   -0.649162 0.000155578
           9   -0.649086   -0.649154 0.000138523
          10   -0.649371   -0.649176 0.000126356
          11   -0.649288   -0.649186 0.000115281
          12   -0.648194   -0.649103 0.000131999
          13   -0.648372   -0.649047 0.000133294
          14   -0.649113   -0.649052 0.000123855
          15    -0.64799   -0.648981 0.000134302
          16    -0.64719   -0.648869 0.000166134
          17    -0.64905    -0.64888 0.000156703
          18   -0.649248     -0.6489 0.000149326
          19   -0.648507   -0.648879 0.000142892
          20   -0.649162   -0.648893 0.000136443
