#   N_BLOCK:  ACCEPTANCE:
           1    0.513317
           2     0.51312
           3    0.513165
           4    0.512916
           5    0.512936
           6    0.513107
           7    0.513072
           8     0.51306
           9    0.512972
          10    0.513023
          11    0.513027
          12    0.512999
          13    0.512966
          14    0.512953
          15     0.51296
          16    0.512961
          17    0.512959
          18    0.512907
          19     0.51292
          20    0.512933
