#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.199822    0.199822           0
           2    0.198294    0.199058 0.000540367
           3    0.196807    0.198308 0.000710711
           4    0.197113    0.198009 0.000592458
           5    0.197989    0.198005  0.00047398
           6    0.195916    0.197657 0.000506983
           7    0.198721    0.197809 0.000456796
           8     0.19651    0.197647 0.000427603
           9    0.196627    0.197533 0.000394805
          10    0.196821    0.197462 0.000361684
          11    0.197606    0.197475 0.000329041
          12    0.198787    0.197585 0.000319262
          13    0.198238    0.197635  0.00029863
          14    0.196152    0.197529 0.000295489
          15     0.19824    0.197576 0.000279573
          16    0.196448    0.197506 0.000270843
          17    0.195904    0.197412 0.000270801
          18    0.197851    0.197436 0.000256852
          19    0.197367    0.197432 0.000243359
          20     0.19896    0.197509 0.000242887
