#   N_BLOCK:  ACCEPTANCE:
           1   0.0276274
           2   0.0265707
           3   0.0260791
           4   0.0259656
           5   0.0260881
           6   0.0261953
           7   0.0261228
           8   0.0261843
           9   0.0260043
          10   0.0259212
          11   0.0257171
          12   0.0258342
          13   0.0256252
          14    0.025444
          15   0.0254291
          16   0.0255146
          17   0.0254504
          18   0.0254622
          19   0.0254974
          20   0.0255071
